paper_id;Reference;abstract_summary_tr;Title;Year;paper_type;main_contribution;problem;separation_task;channel_configuration;training_dataset;test_dataset;real_or_synthetic_mix;data_augmentation;preprocessing;visualization_type;learning_type;architecture_family;specific_models;loss_function;evaluation_metrics;separation_performance
1;Araki, S., Ito, N., Haeb-Umbach, R., Wichern, G., Wang, Z. Q., & Mitsufuji, Y. (2025, April). 30+ years of source separation research: Achievements and future challenges. In ICASSP 2025-2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 1-5). IEEE.;"Bu çal??ma, akustik sinyallerin kaynak ayr??t?r?lmas? (Source Separation – SS) alan?n?n yakla??k otuz y?ll?k geli?imini kapsaml? bir ?ekilde ele alan bir derleme makalesidir. 1990’lar?n ortas?nda ortaya ç?kan konu?ma, ses ve müzik kaynak ayr??t?rma ara?t?rmalar?n?n tarihsel evrimi incelenmi?; hem tek kanall? hem de çok kanall? yakla??mlar sistematik biçimde de?erlendirilmi?tir. Makale, yaln?zca yöntemsel ilerlemeleri de?il, ayn? zamanda alan?n olgunla?mas?n? sa?layan bilimsel de?erlendirme kültürünü de ele alarak; ortak veri setleri, performans ölçütleri ve topluluk temelli yar??malar?n (challenge) rolünü vurgulamaktad?r. Son olarak, güncel e?ilimler ve gelecekteki ara?t?rma yönleri tart???larak, kaynak ayr??t?rma alan?n?n mevcut durumu ve potansiyel geli?im alanlar? bütüncül bir bak?? aç?s?yla sunulmaktad?r.";30+ Years of Source Separation Research: Achievements and Future Challenges;2025;Review;A comprehensive survey summarizing more than 30 years of research in speech, audio, and music source separation, covering model-based, deep learning-based, and hybrid approaches, as well as benchmarks, datasets, evaluation metrics, and future research directions;Separating individual acoustic source signals from one or more mixtures under blind or semi-blind settings;Speech separation / audio source separation / music source separation;Single-channel and Multi-channel;-;-;-;-;STFT-based time-frequency representation (general problem formulation);Time-Frequency domain;Supervised + Unsupervised (surveyed);Model-based + Deep Learning + Hybrid;ICA / IVA / ILRMA / NMF / TF masking / Beamforming / Conv-TasNet / DPRNN / Transformer-based models;-;SDR / SI-SDR / SIR / SAR / STOI / PESQ / WER / MOS;-
2;Lu, W. T., Wang, J. C., Kong, Q., & Hung, Y. N. (2024, April). Music source separation with band-split rope transformer. In ICASSP 2024-2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 481-485). IEEE.;Bu çal??ma, müzik kaynak ay?rma için frekans alan?nda çal??an Transformer tabanl? bir mimari olan BS-RoFormer’i önermektedir. Model, karma??k spektrogram? band-split modülü ile alt frekans bantlar?na ay?rmakta ve hiyerar?ik Transformer katmanlar? ile hem bant içi hem de bantlar aras? ili?kileri birlikte modellemektedir. Bu yönüyle, tek-sekans Transformer kullanan yakla??mlardan ayr?lmaktad?r. Çal??man?n öne ç?kan bir di?er katk?s?, Rotary Position Embedding (RoPE) kullan?m?n?n MSS ba?lam?nda etkin biçimde gösterilmesidir. Çok bantl? maske tahmini ile birle?tirilen bu yap?, hem mimari verimlilik hem de performans aç?s?ndan güçlü sonuçlar sunmaktad?r. Ek veri olmadan state-of-the-art performansa ula?mas? ve yar??ma birincili?i elde etmesi, yöntemin genellenebilirli?ini ve literatüre katk?s?n? aç?kça ortaya koymaktad?r.;MUSIC SOURCE SEPARATION WITH BAND-SPLIT ROPE TRANSFORMER;2024;Research (ICASSP paper);"Proposes BS-RoFormer, a frequency-domain music source separation model using a band-split front-end and hierarchical interleaved Transformers with Rotary Position Embedding (RoPE) for multi-band complex mask estimation; achieves state-of-the-art SDR and ranked 1st in SDX’23 music separation track";"Music source separation (4-stem) from stereo recordings is challenging due to complex signals and multiple sources; improve frequency-domain modeling efficiency and separation quality by leveraging band-wise priors and Transformer sequence modeling with stable positional encoding";4-stem MSS (vocals, bass, drums, other) via complex ideal ratio mask (cIRM) estimation in STFT domain;Stereo (2-channel);"MUSDB18HQ + In-House (500 songs; 450 train, 50 val) for SDX’23 system; ablations use MUSDB18HQ only";"MUSDB18HQ test/eval set (50 songs); SDX’23 organizer private test set for leaderboard C";Real (recorded multitrack stems) + synthetic mixtures via random mixing of stems (dynamic pool);"Random gain ±3 dB per stem; 10% chance a stem replaced with silence; random mixing of stems possibly from different songs; random 8-second cropping with loudness > -50 dB; dynamic segment pool";"STFT/iSTFT; complex spectrogram input; band-split into 62 non-overlapping subbands; segment enframe/deframe (TC or OA); RMSNorm; mixed precision (STFT/iSTFT FP32, others FP16); EMA; flash attention; checkpointing";Time-Frequency (complex spectrogram);Supervised;Transformer (hierarchical/interleaved);"BS-RoFormer (Band-Split RoPE Transformer); baseline comparisons include BSRNN, HTDemucs, etc.";Time-domain MAE + multi-resolution complex spectrogram MAE (S=5 multi-resolution STFTs);"SDR (museval); median SDR reporting (per 1-second chunks)";"9.80 dB average SDR on MUSDB18HQ without extra data (BS-RoFormer L=6, OA); 9.97 dB mean global SDR on SDX’23 leaderboard C final (private set); 11.99 dB avg SDR for SDX’23 submission model with extra data (L=12, OA)"
3;Mariani, G., Tallini, I., Postolache, E., Mancusi, M., Cosmo, L., & Rodolà, E. (2023). Multi-source diffusion models for simultaneous music generation and separation. arXiv preprint arXiv:2302.02257.;"Bu çal??ma, difüzyon tabanl? tek bir üretici model ile hem müzik üretimi hem de müzik kaynak ay?rma görevlerini birlikte ele almas?yla öne ç?kmaktad?r. Model, ayn? ba?lam? payla?an kaynaklar?n ortak olas?l?k da??l?m?n? ö?renerek yaln?zca klasik ay?rma ve kar???m üretimi görevlerini de?il, ayn? zamanda k?smi üretim (source imputation) senaryosunu da mümkün k?lmaktad?r; yani baz? enstrümanlar verilmi?ken di?erlerinin tutarl? biçimde üretilmesini sa?lamaktad?r. Ayr?ca kaynak ay?rma için Dirac olas?l?k fonksiyonlar?na dayal? yeni bir ç?kar?m yöntemi önerilmektedir. Slakh2100 veri kümesi üzerinde e?itilen model, üretim taraf?nda niteliksel olarak tutarl? sonuçlar, ay?rma taraf?nda ise rekabetçi nicel performans sergilemektedir. Bu yönleriyle çal??ma, üretim ve ay?rmay? tek bir çat? alt?nda birle?tiren ilk yakla??m olarak genel amaçl? ses modellerine do?ru önemli bir ad?m sunmaktad?r.";MULTI-SOURCE DIFFUSION MODELS FOR SIMULTANEOUS MUSIC GENERATION AND SEPARATION;2024;Conference (ICLR);Introduces a Multi-Source Diffusion Model that learns the joint distribution of contextual musical stems, enabling total generation, partial generation (source imputation), and source separation within a single unified model, and proposes a novel Dirac-based likelihood for posterior score estimation in separation;Joint modeling of multiple dependent musical sources to enable both generation and separation without conditioning architecture on mixtures;"Music source separation; music mixture generation; partial generation (source imputation)";"Multi-source (4 stems); mono waveform per stem (stacked channels)";"Slakh2100 (145h; 4 most abundant classes: Bass, Drums, Guitar, Piano)";Slakh2100 test set;Real (rendered multi-track stems);NG;"Waveform domain; Gaussian forward diffusion process; 22kHz resampling; chunking (~12s); noise schedule with ?(t); ODE-based sampling";Waveform (time-domain);"Supervised (score-matching diffusion); also weakly-supervised variant with independent priors";"Diffusion model (Score-based; U-Net backbone)";"MSDM (Multi-Source Diffusion Model); ISDM; MSDM Dirac; MSDM Gaussian";Denoising score-matching loss (MSE between predicted and true denoised signal);"SI-SDRI; FAD; sub-FAD; subjective listening scores (quality; coherence; density)";"Up to 17.27 dB SI-SDRI (ISDM Dirac with correction); MSDM Dirac comparable to Demucs baseline; competitive with state-of-the-art regressor models on Slakh2100"
4;Fabbro, G., Uhlich, S., Lai, C. H., Choi, W., Martínez-Ramírez, M., Liao, W., ... & Mitsufuji, Y. (2023). The Sound Demixing Challenge 2023$\unicode {x2013} $ Music Demixing Track. arXiv preprint arXiv:2308.06979.;Bu çal??ma, Sound Demixing Challenge 2023 (SDX’23) kapsam?ndaki Music Demixing (MDX) yar??ma parkurunu özetlemekte ve özellikle gürültülü ve hatal? etiketler içeren e?itim verileri alt?nda müzik kaynak ay?rma (robust MSS) problemine odaklanmaktad?r. Makalede, MSS veri kümelerinde ortaya ç?kabilecek etiket hatalar? ve kaynak s?z?nt?lar? (bleeding) sistematik olarak tan?mlanmakta ve bu hatalar? simüle eden iki yeni veri kümesi sunulmaktad?r. Ayr?ca yar??mada en yüksek performans? elde eden yakla??mlar incelenmekte ve önceki yar??ma (MDX 2021) ile do?rudan kar??la?t?rma yap?larak, en iyi sistemin 1.6 dB’den fazla SDR iyile?mesi sa?lad??? gösterilmektedir. Çal??ma, yaln?zca nesnel metriklere de?il, ayn? zamanda profesyonel müzisyen ve prodüserlerle yap?lan dinleme testlerine de yer vererek alg?sal kaliteyi de?erlendirmekte ve son olarak yar??ma organizasyonu ile gelecekteki edisyonlara yönelik ç?kar?mlar sunmaktad?r.;D3Net: Densely Connected Multi-Dilated DenseNet for Music Source Separation;2021;Conference (ICASSP);Proposes D3Net, a densely connected multi-dilated DenseNet architecture that enlarges the receptive field while maintaining parameter efficiency for music source separation, achieving improved SDR compared to prior convolutional models;Improving music source separation performance by better capturing multi-scale temporal and spectral context with efficient convolutional modeling;Music source separation (4 stems: vocals, drums, bass, other);Stereo (2-channel);MUSDB18;MUSDB18 test set;Real (professionally recorded multitrack stems);Data augmentation via random mixing and segment cropping (NG exact details);"STFT-based magnitude spectrogram input; U-Net style encoder-decoder with dense and dilated convolutions";Time-Frequency (magnitude spectrogram);Supervised;Convolutional Neural Network (DenseNet-based U-Net);D3Net;L1 loss on magnitude spectrogram (NG if exact formulation unspecified);SDR (BSS Eval / museval);Improved average SDR over prior CNN-based baselines on MUSDB18 (exact value NG)
5;Sawata, R., Takahashi, N., Uhlich, S., Takahashi, S., & Mitsufuji, Y. (2024). The whole is greater than the sum of its parts: improving music source separation by bridging networks. EURASIP Journal on Audio, Speech, and Music Processing, 2024(1), 39.;"Bu çal??ma, derin ö?renme tabanl? müzik kaynak ay?rma sistemlerinin performans?n? hesaplama maliyetini neredeyse art?rmadan iyile?tirmeyi amaçlayan X-scheme (crossing scheme) adl? bir yöntemi sunmaktad?r. X-scheme; çok-alanl? kay?p fonksiyonu (multi-domain loss), farkl? enstrümanlara ait a?lar aras?nda bilgi payla??m? sa?layan bridging (köprüleme) i?lemi ve bu yap?y? destekleyen combination loss bile?enlerinden olu?maktad?r. Yöntem, zaman ve frekans alan? temsillerini birlikte kullanarak ve kaynaklar aras? ili?kileri e?itim a?amas?nda modele dahil ederek ay?rma kalitesini art?rmaktad?r. Önerilen yakla??m?n en önemli özelli?i, yaln?zca e?itim s?ras?nda uygulanmas?, ç?kar?m a?amas?n? ve parametre say?s?n? etkilememesidir. Deneysel sonuçlar, Open-Unmix, D3Net ve Conv-TasNet gibi farkl? MSS mimarilerinin X-scheme ile geni?letildi?inde tutarl? performans kazan?mlar? elde etti?ini göstermekte ve yöntemin genel, mimariden ba??ms?z bir iyile?tirme stratejisi oldu?unu ortaya koymaktad?r.";Hybrid Demucs: A Hybrid Spectrogram and Waveform Source Separation Model;2023;Conference (ICASSP);Proposes Hybrid Demucs, a model that combines waveform-domain and spectrogram-domain U-Net architectures to leverage both time-domain and frequency-domain representations for improved music source separation;Improving music source separation by jointly modeling waveform and spectrogram features to overcome limitations of purely time-domain or frequency-domain approaches;Music source separation (4 stems: vocals, drums, bass, other);Stereo (2-channel);MUSDB18-HQ + additional proprietary and public datasets (as part of training strategy);MUSDB18-HQ test set;Real (professionally recorded multitrack stems) + synthetic mixtures during training;Data augmentation including random remixing of stems, pitch shifting, time stretching, and random segment cropping;"STFT for spectrogram branch; raw waveform input for time-domain branch; hybrid encoder-decoder with cross-domain fusion";Waveform + Time-Frequency (Hybrid);Supervised;Hybrid CNN-based U-Net (waveform + spectrogram);Hybrid Demucs;L1 loss on waveform + multi-resolution STFT loss;SDR (museval);State-of-the-art SDR on MUSDB18-HQ at time of publication (exact value NG)
6;Rouard, S., Massa, F., & Défossez, A. (2023, June). Hybrid transformers for music source separation. In ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 1-5). IEEE.;"Bu çal??ma, müzik kaynak ay?rma probleminde uzun menzilli ba?lamsal bilginin önemini ara?t?rmakta ve bu amaçla Hybrid Transformer Demucs (HT Demucs) adl? yeni bir mimari önermektedir. HT Demucs, zaman ve frekans alanlar?n? birlikte kullanan hibrit bir U-Net yap?s?n?, iç katmanlarda çapraz-alan Transformer Encoder ile güçlendirmekte; böylece hem alan içi self-attention hem de alanlar aras? cross-attention ile uzun süreli ba??ml?l?klar? modelleyebilmektedir. Deneyler, Transformer bile?enlerinin küçük veri rejimlerinde s?n?rl? fayda sa?lad???n?, ancak geni? ölçekli ek e?itim verisi kullan?ld???nda modelin Hybrid Demucs’e k?yasla anlaml? performans art??? sa?lad???n? göstermektedir. Seyrek attention mekanizmalar? ve kaynak ba??na ince ayar ile HT Demucs, ek veriyle MUSDB üzerinde state-of-the-art sonuçlara ula?arak uzun ba?lam bilgisinin MSS için etkili oldu?unu ortaya koymaktad?r.";Hybrid Transformers for Music Source Separation;2023;Conference (ICASSP);Proposes Hybrid Transformer Demucs (HT Demucs), a cross-domain Transformer-based extension of Hybrid Demucs that replaces inner convolutional layers with a cross-domain Transformer encoder using self-attention and cross-attention between waveform and spectrogram branches, achieving state-of-the-art SDR with extra data;Improving music source separation by leveraging long-range contextual modeling through Transformers in both temporal and spectral domains;Music source separation (4 stems: drums, bass, vocals, other);Stereo (2-channel);MUSDB18-HQ (87 training songs) + 800 curated internal songs (selected from 3500);MUSDB18-HQ test set;Real multitrack recordings + curated internal dataset;"Remixing; repitching; tempo stretching; segment cropping; per-source fine-tuning without augmentation";"STFT for spectral branch; waveform input for temporal branch; chunk-based training (3.4–12.2 sec); overlap-add at inference; cross-domain Transformer encoder; sparse attention with LSH for long context";Waveform + Time-Frequency (Hybrid);Supervised;Hybrid CNN + Transformer (Bi-U-Net with cross-domain Transformer encoder);"HT Demucs; Sparse HT Demucs (fine-tuned variant)";"L1 loss on waveform; Adam optimizer; EMA; gradient clipping during fine-tuning";"SDR (SiSEC18 definition; median over 1-sec chunks); Real Time Factor (RTF)";"9.20 dB SDR on MUSDB-HQ test set with 800 extra songs and sparse attention + fine-tuning; +0.45 dB over Hybrid Demucs trained on same data"
7;Luo, Y., & Yu, J. (2023). Music source separation with band-split RNN. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 1893-1901.;Bu çal??ma, müzik kaynak ay?rma alan?nda müzi?e özgü frekans yap?s?n? do?rudan modelleyen bir yakla??m olarak Band-Split RNN (BSRNN) mimarisini önermektedir. Model, giri? spektrogram?n? önceden tan?ml? frekans alt bantlar?na ay?rmakta ve bu bantlar üzerinde bant-seviyesinde ve zaman-seviyesinde ard???k (interleaved) modelleme yapmaktad?r. Alt bant geni?liklerinin, hedef enstrümanlar?n özelliklerine göre uzman bilgisiyle ayarlanabilmesi, yöntemin ay?rt edici yönlerinden biridir. Ayr?ca çal??ma, etiketlenmemi? verilerden faydalanmak için yar? denetimli bir ince ayar (fine-tuning) süreci tan?mlamakta ve bu sürecin performans? daha da art?rd???n? göstermektedir. BSRNN, yaln?zca MUSDB18-HQ ile e?itildi?inde dahi MDX 2021 yar??mas?ndaki önde gelen modelleri geride b?rakarak, frekans-bant temelli modellemenin MSS için güçlü bir paradigma oldu?unu ortaya koymaktad?r.;Music Source Separation With Band-Split RNN;2023;Journal (IEEE/ACM TASLP);Proposes Band-Split RNN (BSRNN), a frequency-domain music source separation model that explicitly splits spectrograms into source-specific subbands and performs interleaved band-level and sequence-level modeling, along with a semi-supervised self-boosting finetuning pipeline;Improving music source separation by incorporating prior knowledge of instrument-specific frequency characteristics and better modeling high-sample-rate signals;Music source separation (4 stems: vocals, bass, drums, other) treated as source extraction (one target at a time);Stereo (2-channel);MUSDB18-HQ (supervised training);MUSDB18-HQ and MUSDB18 test sets;Real multitrack recordings + additional private unlabeled dataset (1750 songs) for semi-supervised finetuning;"On-the-fly remixing; energy rescaling (?10 to 10 dB); random source dropping (p=0.1); semi-supervised pseudo-label generation and clean segment detection";"STFT (window 2048, hop 512, Hann window); complex spectrogram input; band splitting into predefined subbands; BLSTM residual modeling; overlap-add at inference";Time-Frequency (complex spectrogram);Supervised + Semi-supervised finetuning;"RNN-based (BLSTM; dual-path style band and sequence modeling)";BSRNN;Frequency-domain MAE (real + imaginary) + time-domain MAE on reconstructed waveform;"uSDR (MDX metric); cSDR (SiSEC bss_eval median over 1-sec chunks)";"Outperforms prior state-of-the-art models on vocals, drums, and other tracks on MUSDB18-HQ; semi-supervised finetuning further improves performance (~1 dB gain on bass and drums cSDR); achieves top-ranking performance in MDX Challenge setting"
8;Plaja-Roglans, G., Miron, M., Shankar, A., & Serra, X. (2023). Carnatic singing voice separation using cold diffusion on training data with bleeding.;"Bu çal??ma, etiketli ve temiz kaynak verisinin s?n?rl? oldu?u durumlarda ?ark? sesi ay?rma problemini ele almaktad?r. Yöntem, kaynak s?z?nt?s? (bleeding) içeren yer-gerçekli (ground-truth) verilerle e?itilebilen frekans alan?nda bir cold diffusion modeli önermektedir. Model, kar???m? ad?m ad?m hedef vokale dönü?türürken, her ad?mda spektrogramdaki de?i?imleri izler; son a?amada ise bu dönü?üm süreci boyunca benzer evrim gösteren frekans-zaman noktalar?n? kümeleyerek ay?rma maskeleri olu?turur. Yaln?zca bleeding içeren veri setlerinin bulundu?u Carnatic müzi?i senaryosunda test edilen yakla??m, Bat? müzi?iyle e?itilmi? genel modellerin aksine bu repertuvara daha uygun sonuçlar üretmekte; Spleeter’a k?yasla giri?imi daha iyi bast?r?rken sinyal bozulmas? aç?s?ndan rekabetçi performans sunmaktad?r. Aç?k kaynak kod payla??m? da çal??man?n pratik katk?lar?ndand?r.";Carnatic Singing Voice Separation Using Cold Diffusion on Training Data with Bleeding;2023;Conference (ISMIR);Proposes a singing voice separation system that can be trained only with mixtures and target sources containing bleeding by leveraging a cold diffusion process in the spectrogram domain followed by unsupervised clustering to build final separation masks;Singing voice separation in Carnatic music when clean isolated ground-truth sources are unavailable and only multitrack recordings with source bleeding exist;Singing voice separation (vocal extraction);Single-channel (mono mixture processed via magnitude spectrogram);Saraga dataset (?36 hours, multitrack with bleeding);Custom recorded Carnatic test set (?2 hours, bleeding-free stems for evaluation) + additional perceptual test data from Saraga and Dunya;Real recordings with source bleeding (training) + real clean recordings for evaluation;NG;"STFT (window 1024, hop 256, 22.05 kHz); magnitude spectrogram; cold diffusion process with T=8 steps; phase reused from mixture for reconstruction";Time-Frequency (magnitude spectrogram);Supervised (cold diffusion training) + Unsupervised (K-means clustering mask estimation);U-Net-based diffusion-inspired architecture;Cold Diffusion U-Net for mask prediction + K-means clustering for mask refinement;L2 loss between predicted and true reverse diffusion step (mask-based objective);"SDR; SIR; SAR; MOS (MUSHRA-based perceptual evaluation)";"Improves SIR over baseline U-Net and Spleeter (up to +7.14 dB SIR improvement vs no clustering); competitive perceptual vocal quality despite lower SAR; better interference removal in Carnatic domain"
9;Pereira, I., Araújo, F., Korzeniowski, F., & Vogl, R. (2023). Moisesdb: A dataset for source separation beyond 4-stems. arXiv preprint arXiv:2307.15913.;"Bu çal??ma, müzik kaynak ay?rma ara?t?rmalar? için MoisesDB adl? yeni ve kapsaml? bir veri kümesini tan?tmaktad?r. MoisesDB, 45 sanatç?ya ait 240 parça ve 12 farkl? müzik türünü kapsamakta; her parça için kaynaklar iki seviyeli hiyerar?ik bir stem taksonomisi alt?nda sunulmaktad?r. Bu yap?, geleneksel dört-stem (vokal, bas, davul, di?er) s?n?r?n?n ötesine geçerek daha ayr?nt?l? (fine-grained) kaynak ay?rma çal??malar?n? mümkün k?lmaktad?r. Çal??ma, veri kümesinin kullan?m?n? kolayla?t?rmak amac?yla Python tabanl? bir araç kütüphanesi ve detayl? dokümantasyon sa?lamaktad?r. Ayr?ca farkl? ay?rma ayr?nt? seviyeleri (4, 5 ve 6 stem) için aç?k kaynak modellerle elde edilen temel (baseline) sonuçlar sunularak, MoisesDB’nin MSS literatüründeki konumu ve potansiyeli ortaya konmaktad?r.";MoisesDB: A Dataset for Source Separation beyond 4-Stems;2023;Conference (ISMIR);Introduces MoisesDB, a publicly available multitrack dataset with 240 songs organized under a hierarchical stem taxonomy enabling fine-grained music source separation beyond the standard four-stem setting, and provides baseline benchmarking results with open-source and oracle methods;Lack of publicly available datasets supporting granular multi-stem music source separation beyond the common four-stem taxonomy (vocals, drums, bass, other);"Music source separation (4, 5, and 6 stems; extensible hierarchical stems)";Stereo multitrack recordings (professionally recorded);MoisesDB (240 songs, 47 artists, ~14h 24m total duration);"MoisesDB benchmark subsets (4 stems N=235; 5 stems N=104; 6 stems N=88)";"Real multitrack recordings (unmastered; minor bleeding possible)";-;"Additive stem mixing; hierarchical taxonomy grouping; no compression/EQ/mastering; loudness and dynamic range analysis; Python API for stem construction";Waveform (time-domain multitrack and stem mixtures);-;-;"HT-Demucs; Spleeter; IBM; IRM; MWF (benchmark models only)";-;"SDR (Source-to-Distortion Ratio; mean, std, median)";"HT-Demucs achieves highest overall SDR among evaluated methods (e.g., 4-stem overall mean 9.91 dB; 6-stem overall mean 6.24 dB); oracle IRM/MWF competitive; performance decreases as stem granularity increases"
10;Défossez, A. (2021). Hybrid spectrogram and waveform source separation. arXiv preprint arXiv:2111.03600.;Bu çal??ma, müzik kaynak ay?rma modellerinin zaman alan? (waveform) ve frekans alan? (spektrogram) yakla??mlar?n? tek bir çat? alt?nda birle?tiren hibrit ve uçtan uca (end-to-end) bir çözüm sunmaktad?r. Önerilen hibrit Demucs mimarisi, her kaynak için hangi alan?n daha uygun oldu?una modelin kendisinin karar vermesine ve gerekirse iki alan?n birlikte kullan?lmas?na olanak tan?maktad?r. Mimari, Music Demixing Challenge 2021 yar??mas?n? kazanm?? ve s?k??t?r?lm?? residual dallar, yerel attention mekanizmalar? ve tekil de?er düzenlile?tirme gibi ek iyile?tirmelerle güçlendirilmi?tir. Deneysel sonuçlar, MusDB HQ veri kümesi üzerinde ortalama 1.4 dB SDR art??? sa?land???n? ve bu kazan?m?n insan dinleme testleriyle de do?ruland???n? göstermektedir. Bu yönleriyle çal??ma, hibrit alan modellemenin MSS için güçlü ve pratik bir yakla??m oldu?unu ortaya koymaktad?r.;Hybrid Spectrogram and Waveform Source Separation;2021;Workshop (MDX Workshop);Proposes Hybrid Demucs, a dual-branch U-Net combining waveform and spectrogram representations with shared core layers, compressed residual branches, local attention, and stabilization techniques, achieving state-of-the-art performance and winning the MDX 2021 challenge (Track A);Limitations of purely waveform or purely spectrogram-based music source separation models and need for improved representation and artifact reduction;Music source separation (4 stems: drums, bass, vocals, other);Stereo (2-channel, 44.1 kHz);"MUSDB18-HQ (86 train, 14 valid; 150 tracks total); additional 150 internal tracks for Track B; realistic remix fine-tuning dataset";"MUSDB18-HQ test set (50 tracks); MDX hidden test set (27 tracks)";Real multitrack recordings + synthetic realistic remixes for fine-tuning;"Random shifts; realistic remixing with beat alignment, tempo adjustment (<15%), pitch shift (<3 semitones); longer segment training (30s fine-tuning)";"STFT (4096 window, hop 1024); complex-as-channels or amplitude spectrogram; waveform up/downsampling; aligned padding; ISTFT reconstruction";Waveform + Time-Frequency (Hybrid);Supervised;Hybrid CNN U-Net with BiLSTM and Local Attention;"Hybrid Demucs; Demucs v2 (baseline); bag of 4 models for competition";"Waveform-domain L1 loss (applied after ISTFT + waveform summation); SVD regularization; EMA stabilization";"SDR (Vincent et al.); nSDR (MDX definition); MOS (quality and bleeding)";"MDX Track A: 7.33 nSDR overall (1st place); Track B: 8.11 nSDR overall; MUSDB-HQ: 7.68 dB SDR overall (?+1.4 dB over original Demucs); strong improvements on drums and bass; improved MOS and reduced bleeding"
